dealer_id,assigned_facility,latitude,longitude,demand
D0000,F04,36.91188,29.22975,41
D0001,F06,40.46265,37.41119,28
D0002,F06,41.18366,37.53426,41
D0003,F00,41.30442,41.92617,28
D0004,F07,40.46154,38.99043,24
D0005,F02,40.86508,30.1172,44
D0006,F09,39.23624,42.80924,42
D0007,F08,36.76002,32.95776,49
D0008,F11,41.2837,39.11177,73
D0009,F09,38.74029,41.86011,44
D0010,F04,37.11215,29.52248,47
D0011,F12,39.34431,30.32667,24
D0012,F05,40.6628,39.76611,21
D0013,F04,36.5,28.61643,64
D0014,F11,40.631,39.3832,26
D0015,F04,36.76449,27.85671,24
D0016,F00,40.23784,40.52967,39
D0017,F06,41.17745,36.26691,39
D0018,F10,38.85169,41.51915,26
D0019,F02,40.36005,31.87924,35
D0020,F06,40.46217,37.40965,58
D0021,F01,38.5112,33.85009,28
D0022,F08,37.01261,32.3428,19
D0023,F06,40.3891,36.83991,54
D0024,F04,37.24952,27.856,47
D0025,F02,40.64032,30.39025,31
D0026,F07,40.90905,39.725,16
D0027,F08,36.6267,31.54583,29
D0028,F12,39.72218,30.67452,39
D0029,F05,41.5,39.9953,57
D0030,F02,40.89338,30.88084,24
D0031,F10,38.99894,40.5574,39
D0032,F08,37.18175,33.53603,50
D0033,F09,39.01328,43.0,5
D0034,F01,38.66884,34.71836,56
D0035,F04,36.89421,27.03649,22
D0036,F09,38.40116,43.0,45
D0037,F10,38.54763,41.5531,44
D0038,F05,40.99492,39.19867,56
D0039,F10,38.6535,41.27415,48
D0040,F10,38.84237,41.52689,5
D0041,F05,41.5,40.60355,28
D0042,F11,41.00501,39.56936,42
D0043,F03,40.19112,36.06266,37
D0044,F03,39.84794,36.83121,47
D0045,F08,37.56157,33.46934,52
D0046,F08,36.5,30.80883,49
D0047,F01,38.54337,33.88829,37
D0048,F10,37.45812,41.18292,12
D0049,F02,40.12021,29.49696,33
D0050,F10,38.96773,41.35116,46
D0051,F00,40.77261,40.97588,24
D0052,F10,38.03022,40.58367,49
D0053,F10,37.67786,41.5086,54
D0054,F10,37.01995,40.69465,42
D0055,F08,36.896,32.23568,5
D0056,F06,41.39489,38.06694,21
D0057,F09,38.94763,42.17851,68
D0058,F03,39.73503,36.1738,32
D0059,F10,38.56328,40.07365,10
D0060,F07,39.72789,40.33991,59
D0061,F05,41.24431,40.63382,40
D0062,F06,40.35046,36.98801,57
D0063,F07,40.39157,39.50351,44
D0064,F00,40.72564,39.24781,47
D0065,F01,38.84948,34.86327,45
D0066,F03,40.28759,35.66277,50
D0067,F01,38.38462,33.96198,74
D0068,F05,41.5,39.92252,55
D0069,F08,37.87359,32.295,16
D0070,F08,36.704,33.12396,47
D0071,F06,39.90624,37.27297,57
D0072,F11,41.5,39.87778,58
D0073,F07,40.34422,39.12368,34
D0074,F01,39.32611,34.42821,57
D0075,F09,38.55279,42.25892,54
D0076,F07,41.08509,40.57873,79
D0077,F08,37.19974,31.65327,29
D0078,F07,40.54652,39.94901,32
D0079,F07,41.13444,40.01854,35
D0080,F01,38.53159,33.54073,33
D0081,F07,40.00682,40.57843,27
D0082,F10,38.15214,41.93701,5
D0083,F03,40.19039,36.5046,33
D0084,F07,39.72573,39.14761,46
D0085,F00,40.65664,40.02299,33
D0086,F04,36.72844,27.88496,69
D0087,F05,41.5,40.49594,40
D0088,F12,38.64191,31.02499,59
D0089,F02,40.43904,30.75367,44
D0090,F03,39.22793,35.28092,52
D0091,F05,41.00631,40.77798,44
D0092,F12,39.83078,30.71297,61
D0093,F11,41.05317,39.87967,41
D0094,F00,40.25576,40.64876,47
D0095,F03,39.91521,35.69726,45
D0096,F10,38.44551,40.6861,36
D0097,F00,39.91594,39.59986,46
D0098,F11,41.4519,38.39109,74
D0099,F03,40.28504,36.02738,36
D0100,F11,41.30709,39.3999,46
D0101,F03,40.23728,35.58737,59
D0102,F05,41.5,38.32095,57
D0103,F08,38.05635,31.86166,40
D0104,F01,38.6552,34.82318,5
D0105,F07,40.29213,38.69739,48
D0106,F06,39.96661,37.34101,7
D0107,F10,37.88947,40.38599,62
D0108,F12,39.15932,31.04938,43
D0109,F08,36.74061,32.5788,55
D0110,F05,41.3463,40.43063,26
D0111,F05,41.5,41.75386,17
D0112,F05,41.40112,41.22779,44
D0113,F10,38.0095,41.09067,39
D0114,F04,37.37597,27.63549,33
D0115,F02,41.12573,30.42422,41
